RN01,nac,bogota,cartagena,true,pre,05:00,32,0,32,01-dic,100000
RN02,nac,bogota,cartagena,true,pre,05:00,32,0,32,10-dic,100000
RN03,nac,bogota,cartagena,true,pre,05:00,32,0,32,20-dic,100000
RN04,nac,bogota,cartagena,true,pre,05:00,32,0,32,30-dic,100000
RN05,nac,bogota,cartagena,true,dob,22:00,50,0,50,01-dic,80000
RN06,nac,bogota,cartagena,true,dob,22:00,50,0,50,10-dic,80000
RN07,nac,bogota,cartagena,true,dob,22:00,50,0,50,20-dic,80000
RN08,nac,bogota,cartagena,true,dob,22:00,50,0,50,30-dic,80000
RN09,nac,cartagena,bogota,true,pre,05:00,32,31,1,02-dic,100000
RN10,nac,cartagena,bogota,true,pre,05:00,32,0,32,11-dic,100000
RN11,nac,cartagena,bogota,true,pre,05:00,32,0,32,21-dic,100000
RN12,nac,cartagena,bogota,true,pre,05:00,32,29,3,31-dic,100000
RN13,nac,cartagena,bogota,true,dob,22:00,50,0,50,02-dic,80000
RN14,nac,cartagena,bogota,true,dob,22:00,50,0,50,11-dic,80000
RN15,nac,cartagena,bogota,true,dob,22:00,50,0,50,21-dic,80000
RN16,nac,cartagena,bogota,true,dob,22:00,50,48,2,31-dic,80000
RN17,nac,bogota,medellin,true,pre,07:00,32,0,32,02-dic,100000
RN18,nac,bogota,medellin,true,pre,07:00,32,30,2,08-dic,100000
RN19,nac,bogota,medellin,true,pre,07:00,32,0,32,21-dic,100000
RN20,nac,bogota,medellin,true,pre,07:00,32,30,2,31-dic,100000
RN21,nac,bogota,medellin,true,dob,13:00,50,0,50,02-dic,80000
RN22,nac,bogota,medellin,false,dob,13:00,50,50,0,08-dic,80000
RN23,nac,bogota,medellin,true,dob,13:00,50,0,50,21-dic,80000
RN24,nac,bogota,medellin,false,dob,13:00,50,50,0,31-dic,80000
RN25,nac,medellin,bogota,true,pre,07:00,32,0,32,03-dic,100000
RN26,nac,medellin,bogota,true,pre,07:00,32,0,32,09-dic,100000
RN27,nac,medellin,bogota,true,pre,07:00,32,0,32,22-dic,100000
RN28,nac,medellin,bogota,true,pre,07:00,32,30,2,31-dic,100000
RN29,nac,medellin,bogota,true,dob,13:00,50,0,50,03-dic,80000
RN30,nac,medellin,bogota,true,dob,13:00,50,0,50,09-dic,80000
RN31,nac,medellin,bogota,true,dob,13:00,50,0,50,22-dic,80000
RN32,nac,medellin,bogota,false,dob,13:00,50,50,0,31-dic,80000
RN33,nac,cartagena,medellin,true,pre,08:30,32,0,32,02-dic,100000
RN34,nac,cartagena,medellin,true,pre,08:30,32,0,32,11-dic,100000
RN35,nac,cartagena,medellin,true,pre,08:30,32,0,32,21-dic,100000
RN36,nac,cartagena,medellin,true,pre,08:30,32,10,22,31-dic,100000
RN37,nac,cartagena,medellin,true,dob,21:00,50,0,50,02-dic,80000
RN38,nac,cartagena,medellin,true,dob,21:00,50,0,50,11-dic,80000
RN39,nac,cartagena,medellin,true,dob,21:00,50,0,50,21-dic,80000
RN40,nac,cartagena,medellin,true,dob,21:00,50,10,40,31-dic,80000
RN41,nac,medellin,cartagena,true,pre,05:30,32,0,32,01-dic,100000
RN42,nac,medellin,cartagena,true,pre,05:30,32,0,32,10-dic,100000
RN43,nac,medellin,cartagena,true,pre,05:30,32,0,32,20-dic,100000
RN44,nac,medellin,cartagena,true,pre,05:30,32,0,32,30-dic,100000
RN45,nac,medellin,cartagena,true,dob,15:00,50,0,50,01-dic,80000
RN46,nac,medellin,cartagena,true,dob,15:00,50,0,50,10-dic,80000
RN47,nac,medellin,cartagena,true,dob,15:00,50,0,50,20-dic,80000
RN48,nac,medellin,cartagena,true,dob,15:00,50,0,50,30-dic,80000
RI01,ext,cartagena,caracas,true,pre,05:00,32,0,32,21-dic,185000
RI02,ext,cartagena,caracas,true,pre,05:00,32,15,17,23-dic,185000
RI03,ext,bogota,caracas,true,pre,05:00,32,25,7,21-dic,185000
RI04,ext,bogota,caracas,true,pre,05:00,32,30,2,23-dic,185000
RI05,ext,caracas,bogota,true,pre,8:00,32,22,10,22-dic,185000
RI06,ext,caracas,cartagena,true,pre,8:00,32,20,12,24-dic,185000